Strategy,fills,fill_rate,CPS,SpreadCapture%,PTM@5s
Aggressive,10000,100.0,8.805704250682384,0.0,-0.1918731354336305
PassiveThenFlip,10542,100.0,-8.23107500000013,96.80699999999999,-0.1278349999999997
